"beta1"	"herit2_snp"	"p"	"sigmaA"	"sigmaX"	"sigmaE"	"xOnly_1"	"xOnly_2"	"xOnly_3"	"xOnly_4"	"xOnly_5"	"autoOnly_1"	"autoOnly_2"	"autoOnly_3"	"autoOnly_4"	"autoOnly_5"	"xAuto_1"	"xAuto_2"	"xAuto_3"	"xAuto_4"	"xAuto_5"	"nSim"
"1"	0.183493960854393	0.01	0.2	0.3	0.3	1	356	186	36	16	7	454	252	61	29	7	360	188	41	18	6	34990
"2"	0.21021874129563	0.01	0.2	0.8	0.3	1	357	182	37	17	3	475	234	46	25	7	377	167	30	19	4	34990
"3"	0.21021874129563	0.01	0.2	0.3	0.8	1	392	201	47	25	7	627	377	98	64	19	382	202	47	26	6	34990
"4"	0.233909821755746	0.01	0.2	0.8	0.8	1	360	175	29	14	1	623	339	73	38	6	365	170	31	10	1	34990
"5"	0.292352673102343	0.025	0.2	0.3	0.3	1	346	168	33	18	3	466	232	47	25	8	353	171	32	18	5	34990
"6"	0.334932063528542	0.025	0.2	0.8	0.3	1	377	187	53	25	4	463	247	62	40	10	370	195	50	28	5	34990
"7"	0.334932063528542	0.025	0.2	0.3	0.8	1	374	200	39	15	2	628	366	90	54	10	379	202	38	18	2	34990
"8"	0.372677996249965	0.025	0.2	0.8	0.8	1	394	202	30	15	2	635	358	81	47	6	397	194	31	14	2	34990
"9"	0.418853908291696	0.05	0.2	0.3	0.3	1	342	165	41	28	10	483	260	64	45	16	346	160	41	26	11	34990
"10"	0.479857434968697	0.05	0.2	0.8	0.3	1	339	187	28	13	3	477	254	53	24	6	326	169	29	15	4	34990
"11"	0.479857434968697	0.05	0.2	0.3	0.8	1	348	167	34	14	4	600	328	78	45	9	339	162	33	12	4	34990
"12"	0.533936062930989	0.05	0.2	0.8	0.8	1	365	200	36	10	2	630	369	88	55	12	376	191	32	13	2	34990
"13"	0.608580619450185	0.1	0.2	0.3	0.3	1	355	167	37	18	3	506	275	58	32	8	365	169	37	20	3	34990
"14"	0.697216688778396	0.1	0.2	0.8	0.3	1	343	175	38	9	1	537	293	66	32	5	359	167	36	14	2	34990
"15"	0.697216688778396	0.1	0.2	0.3	0.8	1	322	154	29	18	1	681	389	98	52	9	326	159	28	15	1	34990
"16"	0.775791113542719	0.1	0.2	0.8	0.8	1	336	179	41	26	2	666	369	103	64	13	334	183	45	21	4	34990
"17"	0.912870929175277	0.2	0.2	0.3	0.3	1	364	187	31	12	2	606	310	79	41	8	365	183	29	10	3	34990
"18"	1.04582503316759	0.2	0.2	0.8	0.3	1	363	184	34	21	7	628	362	83	41	12	373	184	35	20	6	34990
"19"	1.04582503316759	0.2	0.2	0.3	0.8	1	349	179	40	18	2	760	428	119	70	19	357	177	39	19	2	34990
"20"	1.16368667031408	0.2	0.2	0.8	0.8	1	393	223	47	34	8	788	442	132	77	26	395	211	46	32	8	34990
"21"	0.997833150216506	0.23	0.2	0.3	0.3	1	373	170	35	21	3	636	356	95	57	15	381	171	40	21	2	34990
"22"	1.14316148545084	0.23	0.2	0.8	0.3	1	361	186	34	23	3	653	379	105	53	18	362	183	32	22	4	34990
"23"	1.14316148545084	0.23	0.2	0.3	0.8	1	381	190	36	18	4	858	487	141	79	18	372	192	35	17	4	34990
"24"	1.27199267606593	0.23	0.2	0.8	0.8	1	342	160	31	18	1	729	424	108	58	14	346	161	33	18	1	34990
